,Year,Title,0,1,2,3,4,5,6,7,8,9
2057,85,2972,12,12,12,12,12,12,12,12,12,12
2058,101,2313,7,7,13,15,15,15,13,13,7,15
2059,85,2249,12,15,15,12,12,15,12,12,15,12
2060,91,5296,15,15,15,15,15,15,15,15,15,15
2061,85,5170,19,19,19,8,19,8,8,8,19,8
2062,85,3786,9,7,13,7,13,13,13,13,7,9
2063,85,4937,15,12,12,15,15,15,15,15,12,15
2064,85,8477,15,15,15,15,15,15,15,15,15,15
2065,85,723,15,15,15,15,15,15,15,15,15,15
2066,85,4957,15,15,15,15,15,15,15,15,15,15
2067,85,4954,2,12,8,2,12,8,2,2,8,12
2068,66,4770,12,12,12,8,12,8,12,8,12,12
2069,101,4240,11,12,7,12,11,7,11,7,11,11
2070,85,4361,4,4,15,15,4,4,15,4,15,15
2071,101,1145,15,12,12,15,12,12,15,15,15,12
2072,101,8745,12,12,15,12,15,15,12,12,15,15
2073,101,4668,4,12,12,12,12,4,12,12,12,4
2074,101,4605,8,8,8,8,8,8,8,8,8,8
2075,105,8570,15,15,15,15,15,15,15,15,15,15
2076,50,1120,12,12,12,12,12,12,12,12,12,12
2077,50,6381,19,19,18,11,11,15,18,15,15,15
2078,50,6324,15,8,15,15,8,4,15,4,15,8
2079,50,283,4,4,4,4,7,7,7,4,4,4
2080,139,283,13,9,15,15,9,13,13,0,9,13
2081,82,8816,12,12,12,12,12,15,12,12,15,15
2082,82,2937,15,15,12,12,12,15,12,15,15,12
2083,54,6233,15,9,9,15,9,9,15,15,15,15
2084,50,6079,12,12,12,12,12,12,12,12,12,12
2085,50,2320,15,15,15,15,15,15,15,15,15,15
2086,50,338,12,12,12,12,12,12,12,12,12,12
2087,50,8377,0,12,0,12,0,12,0,12,0,12
2088,82,1113,15,15,15,15,15,15,15,15,15,15
2089,61,5226,12,12,12,12,12,12,12,12,12,12
2090,37,270,8,8,8,8,8,8,8,8,8,8
2091,137,1751,8,8,8,8,8,8,8,8,8,8
2092,85,2032,12,12,12,12,12,12,12,12,12,12
2093,91,2445,8,8,8,8,8,8,8,8,8,8
2094,25,308,12,12,12,12,12,12,12,12,12,12
2095,61,7930,8,8,8,8,8,8,8,8,8,8
2096,116,5314,8,8,13,13,13,13,13,13,8,8
2097,130,6910,12,12,12,12,12,12,12,12,12,12
2098,105,3854,12,12,12,12,12,12,12,12,12,12
2099,79,8729,12,8,8,12,13,13,12,0,8,8
2100,91,5562,11,0,12,0,12,12,11,11,0,0
2101,92,1134,12,12,12,12,12,12,12,12,12,12
2102,42,6235,12,12,12,12,12,12,12,12,12,12
2103,42,5315,15,0,12,0,12,12,0,0,17,17
2104,123,8828,12,18,18,12,18,18,18,18,18,12
2105,80,3058,12,12,12,12,12,12,12,12,12,12
2106,52,5499,15,1,17,18,15,11,1,18,11,1
2107,79,4158,15,15,15,0,15,15,0,15,15,15
2108,42,3491,0,15,0,0,0,13,15,0,7,7
2109,114,6555,13,15,0,0,0,9,13,13,0,0
2110,92,4696,18,18,18,18,12,12,18,18,12,12
2111,50,5083,0,12,12,0,12,0,12,0,0,0
2112,50,4650,12,13,13,12,13,13,13,13,12,13
2113,50,1267,7,7,19,7,7,7,7,19,7,19
2114,52,4509,7,7,7,7,7,7,7,7,7,19
2115,79,8648,13,1,13,13,13,4,4,1,13,13
2116,50,9210,13,13,13,7,13,13,13,7,13,13
2117,50,9243,10,10,10,10,10,10,10,10,10,10
2118,85,3510,7,16,16,16,16,7,16,7,7,16
2119,42,1567,7,16,7,16,16,7,7,16,16,16
2120,52,5540,7,7,7,7,7,7,7,7,7,7
2121,26,4018,16,16,16,7,16,16,16,16,7,7
2122,70,5474,15,13,15,13,0,0,4,13,13,15
2123,137,7145,15,15,15,15,15,15,15,15,15,15
2124,52,1996,0,11,0,11,0,0,0,11,11,0
2125,50,381,10,15,15,10,15,15,15,10,15,15
2126,50,6242,7,11,11,17,7,7,17,17,7,17
2127,50,8094,19,19,19,19,8,8,8,8,19,8
2128,50,2482,18,12,12,12,18,18,18,12,12,18
2129,50,4631,12,12,12,12,12,12,12,12,12,12
2130,50,2245,7,12,11,13,12,7,7,12,13,13
2131,50,4161,12,12,12,12,12,12,12,12,12,12
2132,82,990,12,0,12,0,12,0,0,0,0,0
2133,82,6050,15,15,15,15,15,15,15,15,15,15
2134,50,1898,13,15,13,15,13,13,15,15,15,15
2135,50,4503,8,4,13,4,8,8,13,8,13,4
2136,82,9321,0,0,0,0,0,0,0,0,12,0
2137,50,1939,4,15,15,4,15,15,4,15,4,15
2138,85,5956,18,15,12,11,11,12,12,12,11,12
2139,53,3690,0,15,11,15,15,0,11,15,11,15
2140,77,2325,15,15,15,15,15,15,15,15,15,15
2141,130,4783,19,19,19,19,19,13,13,13,11,13
2142,81,4326,15,15,15,15,15,15,15,15,15,15
2143,72,6857,13,13,13,13,13,13,13,13,13,13
2144,139,1605,12,17,2,12,12,2,1,17,12,2
2145,50,7254,0,15,0,0,0,0,0,0,15,15
2146,81,5541,10,10,2,10,2,2,10,2,10,2
2147,50,8003,12,12,12,12,12,12,12,12,12,12
2148,50,5689,12,15,12,12,15,12,12,12,15,15
2149,71,6563,15,15,15,15,15,15,15,15,15,15
2150,137,2112,11,12,12,12,11,2,11,11,11,2
2151,50,344,12,12,12,12,12,12,12,12,12,12
2152,61,620,15,15,15,15,15,15,15,15,15,15
2153,91,6802,12,8,12,13,13,12,13,8,13,13
2154,42,5925,8,8,8,8,8,8,8,8,8,8
2155,74,4307,12,12,12,12,12,12,12,12,12,12
2156,96,5068,11,15,13,13,13,13,13,11,11,13
2157,116,6764,17,17,17,17,17,11,17,17,17,17
2158,63,3523,0,0,12,2,0,0,0,12,2,2
2159,114,4173,4,15,0,0,4,0,4,0,0,4
2160,144,7867,18,18,1,17,1,18,17,1,17,18
2161,70,1543,2,2,2,2,2,2,2,2,2,2
2162,116,2464,8,8,8,8,8,8,8,8,8,8
2163,80,8354,11,7,11,11,12,12,12,7,12,12
2164,101,5053,12,12,11,7,11,7,11,11,7,11
2165,50,5763,13,13,7,13,13,7,13,15,7,15
2166,50,1551,15,15,15,15,15,15,15,15,15,15
2167,50,6288,12,12,15,15,15,15,12,15,15,12
2168,82,4665,0,0,0,12,12,0,0,0,0,12
2169,50,3974,0,15,0,0,15,15,15,0,0,15
2170,50,618,18,18,12,18,12,12,12,18,12,12
2171,50,8426,12,12,12,12,7,7,7,12,12,12
2172,50,4761,12,12,12,12,12,0,12,0,0,12
2173,50,6275,12,12,15,15,12,12,15,15,15,15
2174,50,889,11,7,12,7,15,11,12,16,12,7
2175,50,5267,12,12,12,12,12,12,12,12,12,12
2176,82,9302,7,15,7,7,7,15,7,15,15,7
2177,50,814,15,11,11,7,7,11,15,15,15,11
2178,50,3402,15,0,0,0,15,15,0,0,15,15
2179,99,937,5,5,5,5,5,5,5,5,5,5
2180,92,9590,12,12,16,12,12,12,16,12,12,16
2181,114,5706,4,4,4,4,8,8,4,4,8,4
2182,53,2364,18,1,11,18,11,18,18,1,11,18
2183,42,4021,19,8,8,8,19,8,19,8,8,8
2184,71,3327,8,8,19,8,8,8,8,8,8,19
2185,92,8424,13,8,4,13,8,4,8,13,4,8
2186,85,1849,13,13,13,13,13,8,8,8,8,13
2187,23,8529,15,11,11,15,7,7,15,11,11,11
2188,50,6185,15,15,15,0,15,0,0,0,0,0
2189,50,8783,12,12,12,12,12,12,12,12,12,12
2190,50,8918,15,15,15,15,15,15,15,15,15,15
2191,50,5598,9,9,15,15,9,15,13,9,9,9
2192,92,6501,12,12,12,12,12,12,12,12,12,12
2193,123,5335,7,11,7,7,11,19,7,13,7,13
2194,116,6054,9,9,13,13,13,9,9,13,9,13
2195,85,7943,12,12,12,12,12,12,12,12,12,12
2196,105,6578,0,0,0,16,0,16,16,15,0,0
2197,60,2485,5,5,5,5,5,5,5,5,5,5
2198,139,4803,5,9,5,9,15,9,5,15,15,15
2199,61,5415,12,7,12,12,7,12,12,7,12,12
2200,64,4822,15,15,15,15,15,15,15,15,15,15
2201,42,9278,12,12,15,12,12,15,15,15,15,15
2202,86,7960,0,15,0,15,15,15,15,15,15,15
2203,81,6218,15,15,15,15,15,15,15,15,15,15
2204,116,3736,15,0,15,15,15,0,15,15,15,15
2205,82,4225,10,10,10,10,10,10,10,10,10,10
2206,47,7196,9,15,12,9,15,9,12,12,12,12
2207,61,5060,15,15,15,15,15,15,15,15,15,15
2208,138,177,12,0,0,12,12,12,12,12,0,0
2209,138,8556,12,0,12,0,12,12,11,12,11,11
2210,34,8666,12,12,12,12,12,12,12,12,12,12
2211,108,8149,15,13,13,13,13,15,15,15,13,13
2212,86,2548,4,14,14,14,15,0,0,15,0,15
2213,65,9462,16,2,0,2,2,0,2,0,16,2
2214,92,7231,0,0,0,15,15,0,15,15,15,15
2215,52,7650,15,0,15,15,0,0,0,0,0,15
2216,74,839,7,7,15,16,7,15,7,16,16,7
2217,72,6819,12,2,2,2,2,2,12,2,12,12
2218,137,8948,13,13,13,11,7,11,13,13,11,13
2219,118,8667,7,11,13,7,13,13,7,13,11,11
2220,23,3400,11,13,11,7,7,13,11,13,11,11
2221,130,7388,11,0,11,15,11,11,15,15,15,15
2222,137,5270,7,7,7,7,7,5,5,5,7,7
2223,84,8210,9,13,13,15,9,15,15,15,15,9
2224,52,1359,18,18,18,12,18,18,18,18,12,12
2225,101,8276,9,9,13,13,13,9,13,7,7,13
2226,50,1001,15,7,7,15,13,7,9,9,7,7
2227,50,5077,15,12,12,15,15,12,12,12,15,12
2228,79,4965,0,12,12,12,0,12,0,12,0,12
2229,50,1182,15,15,15,15,15,15,15,15,15,15
2230,50,3664,7,7,7,7,7,7,7,7,7,7
2231,50,3946,15,15,15,15,11,15,11,11,15,11
2232,30,1250,15,15,13,15,15,15,13,13,13,15
2233,116,6715,11,12,17,12,17,12,11,19,17,12
2234,99,6697,15,0,15,0,0,0,15,0,0,15
2235,105,5460,15,15,15,11,15,11,11,15,11,11
2236,71,4719,17,2,2,2,15,2,15,17,17,15
2237,101,5749,15,15,15,16,15,15,16,16,15,16
2238,47,2748,9,9,9,12,15,15,12,9,9,9
2239,50,3444,13,13,8,13,13,8,13,13,8,13
2240,50,8194,12,15,12,12,12,15,15,15,15,12
2241,50,3829,15,15,15,15,15,15,15,15,15,15
2242,50,4798,12,15,15,12,12,12,15,12,12,12
2243,50,628,12,0,0,0,0,12,0,0,12,12
2244,50,1473,15,15,15,15,15,15,15,15,15,15
2245,123,815,13,8,13,8,13,8,13,8,8,8
2246,72,7750,13,13,13,13,13,13,13,13,13,13
2247,25,3044,10,10,10,10,10,10,10,10,10,10
2248,101,9092,7,19,19,19,7,13,9,19,9,13
2249,123,3851,7,9,9,7,7,13,13,9,7,13
2250,42,6129,9,17,1,9,9,1,12,11,11,4
2251,130,1282,15,15,15,15,15,15,15,15,15,15
2252,116,7577,11,11,11,13,11,11,11,7,11,7
2253,47,7563,11,13,13,13,7,13,13,11,13,13
2254,60,7812,7,7,11,7,11,11,7,13,7,13
2255,85,8876,8,13,8,13,8,8,8,13,8,13
2256,72,5676,7,11,7,11,13,13,7,13,13,7
2257,50,4523,13,8,13,13,13,8,13,13,8,13
2258,50,5623,15,15,15,15,15,15,15,15,15,15
2259,50,5074,17,17,15,17,15,17,17,12,17,17
2260,79,512,15,11,7,11,1,1,15,11,11,11
2261,50,1890,10,10,10,10,10,10,10,10,10,10
2262,82,7590,12,16,12,0,12,15,12,0,16,15
2263,50,9295,12,0,12,0,12,0,12,12,12,12
2264,50,9255,13,13,13,13,13,13,13,13,13,13
2265,50,7270,13,15,13,15,13,15,13,13,15,15
2266,50,5712,10,10,10,10,10,10,10,10,10,10
2267,82,7529,15,19,19,19,15,19,15,15,15,19
2268,50,4253,15,15,15,15,15,15,15,15,15,15
2269,95,7212,15,15,15,15,15,15,15,15,15,15
2270,123,3678,12,12,12,8,8,12,8,8,12,8
2271,116,263,12,12,12,12,12,12,12,12,12,12
2272,61,2246,13,13,13,13,13,13,13,13,13,13
2273,105,4242,8,8,8,8,8,8,8,8,8,8
2274,101,5392,8,8,8,8,8,8,8,8,8,8
2275,91,2615,12,8,19,19,12,12,19,19,12,12
2276,47,9033,15,15,9,9,15,15,15,15,9,9
2277,114,1365,15,15,15,15,7,15,7,7,15,15
2278,116,6411,8,8,8,8,8,8,8,8,8,8
2279,58,3386,16,12,16,16,12,12,12,16,12,16
2280,61,8497,19,19,8,8,19,8,19,19,19,8
2281,74,5822,12,12,12,12,12,12,12,12,12,12
2282,116,3189,15,7,15,7,7,15,15,7,7,7
2283,37,738,11,11,11,7,11,11,11,11,11,11
2284,123,4118,12,12,12,12,12,12,12,12,12,12
2285,25,6320,7,13,19,13,7,7,13,7,7,13
2286,101,8137,12,19,19,19,19,19,19,19,12,19
2287,60,1632,12,12,12,12,2,2,11,2,11,2
2288,97,728,15,12,15,16,16,16,15,15,15,15
2289,116,2258,15,15,11,11,11,11,11,11,11,15
2290,64,6227,5,5,5,5,5,5,5,5,5,5
2291,63,8081,15,15,15,15,15,15,15,15,15,15
2292,92,1110,12,12,12,12,12,12,12,12,12,12
2293,71,7019,12,12,12,12,12,12,12,12,12,12
2294,81,5133,12,12,12,12,12,12,12,12,12,12
2295,101,3253,12,12,12,12,12,12,12,12,12,12
2296,52,1487,12,12,12,12,12,12,12,12,12,12
2297,80,6868,0,13,13,0,0,4,0,13,0,13
2298,52,1882,12,15,12,12,15,12,12,12,12,15
2299,26,2772,12,0,12,0,12,0,0,0,0,12
2300,116,5752,12,12,12,12,12,12,12,12,12,12
2301,50,5677,12,15,12,15,12,15,12,15,15,12
2302,50,6992,17,17,17,11,12,17,12,12,11,11
2303,50,1360,16,16,15,16,15,16,16,15,16,15
2304,82,9120,19,18,19,11,17,1,18,17,11,19
2305,50,4010,13,13,13,13,13,13,13,13,13,13
2306,50,4050,9,13,13,13,15,9,9,15,9,13
2307,82,3965,12,12,12,12,12,12,12,12,12,12
2308,80,6355,12,15,15,15,15,15,2,15,2,15
2309,34,7882,2,2,12,12,2,12,2,2,12,12
2310,23,1370,16,15,16,16,15,7,16,15,16,7
2311,52,1733,13,13,13,15,13,13,13,13,15,13
2312,79,2168,15,13,15,13,15,13,15,15,15,13
2313,64,1942,7,15,16,15,7,16,7,15,15,16
2314,42,8159,12,15,15,15,15,15,15,15,12,12
2315,105,6504,4,15,4,15,4,15,4,15,15,15
2316,81,2008,11,19,11,11,19,11,11,19,11,19
2317,42,8976,12,12,12,12,15,15,15,15,15,12
2318,101,5674,0,0,12,12,0,12,0,0,12,0
2319,72,9134,0,0,15,0,15,0,15,0,0,0
2320,96,7546,5,5,5,5,5,5,5,5,5,5
2321,72,5912,15,8,15,8,15,15,8,15,8,15
2322,118,7898,12,12,12,12,12,12,12,12,12,12
2323,82,8401,10,10,10,10,10,10,10,10,10,10
2324,50,8080,15,15,15,15,15,15,15,15,15,15
2325,50,5913,0,0,0,12,0,0,12,15,15,15
2326,50,6675,0,4,8,4,17,8,17,0,8,8
2327,50,4063,11,13,13,11,7,13,13,13,11,11
2328,50,6433,15,15,15,15,15,15,15,15,15,15
2329,69,5525,17,12,12,2,12,17,12,12,17,2
2330,42,6245,17,17,12,17,12,17,12,0,12,12
2331,57,7571,12,12,12,12,12,12,17,17,12,12
2332,131,4437,15,15,15,15,15,15,15,15,15,15
2333,101,5954,15,15,15,15,15,15,15,15,15,15
2334,130,3013,16,15,16,16,16,15,15,16,15,16
2335,25,6726,15,5,15,15,5,5,5,15,15,5
2336,101,661,0,0,0,15,15,0,0,15,15,0
2337,115,793,15,15,15,15,15,15,15,15,15,15
2338,63,1229,12,12,12,12,12,12,12,12,12,12
2339,115,4678,15,0,12,15,12,15,12,0,0,12
2340,81,1614,15,15,15,15,15,15,15,15,15,15
2341,70,6438,15,0,12,12,12,15,15,0,12,15
2342,52,9115,15,15,15,15,15,15,15,15,15,15
2343,101,1550,15,13,13,15,13,13,13,15,13,15
2344,91,6769,13,13,13,0,9,0,9,9,0,0
2345,123,7108,15,15,0,0,15,15,0,15,0,0
2346,42,504,9,13,13,12,9,13,13,13,12,13
2347,123,7119,15,15,4,15,15,15,4,4,15,15
2348,123,1067,15,15,0,0,15,0,15,0,0,15
2349,80,2108,15,7,15,15,15,15,15,7,7,15
2350,80,6041,0,0,0,12,17,15,0,12,15,12
2351,81,7219,15,15,15,15,15,15,15,15,15,15
2352,81,6989,15,15,15,15,15,15,15,15,15,15
2353,85,6155,15,15,15,15,15,15,15,15,15,15
2354,50,5985,7,17,7,7,17,7,13,17,7,17
2355,50,3652,1,12,12,17,1,17,12,1,11,1
2356,50,8243,15,15,15,15,15,15,15,15,15,15
2357,50,2059,15,15,0,16,16,15,0,16,15,15
2358,52,3018,12,12,12,12,12,12,12,12,12,12
2359,50,3331,15,15,15,15,15,15,15,15,15,15
2360,50,4975,15,12,12,15,15,15,12,12,12,15
2361,50,6537,15,12,15,15,15,12,15,15,12,12
2362,123,7971,9,9,9,12,9,12,9,15,15,15
2363,135,2589,15,12,12,15,15,15,15,12,12,12
2364,31,4527,16,16,16,15,15,15,15,15,15,16
2365,71,2617,15,15,15,15,15,15,15,15,15,15
2366,42,1121,15,15,15,15,15,15,15,15,15,15
2367,123,3937,15,15,15,15,15,15,15,15,15,15
2368,42,3956,2,2,2,10,10,2,2,10,2,2
2369,139,3303,15,15,16,15,16,15,15,15,16,15
2370,50,1772,15,15,15,15,15,15,15,15,15,15
2371,50,2890,12,12,12,12,12,12,12,12,12,12
2372,50,6649,9,15,9,15,9,9,9,15,15,15
2373,50,5778,15,15,15,15,15,15,15,15,15,15
2374,50,3687,13,15,13,15,15,15,15,13,13,15
2375,25,348,15,15,15,15,15,15,15,15,15,15
2376,65,9186,11,7,17,11,11,17,7,11,17,17
2377,50,3024,0,15,0,0,0,0,0,15,0,15
2378,50,8320,15,15,15,19,19,15,0,15,15,0
2379,50,1928,12,18,17,12,12,17,17,17,12,12
2380,50,6174,15,15,15,15,15,15,15,15,15,15
2381,50,2199,18,1,3,3,2,18,1,2,1,3
2382,50,9501,15,15,15,15,15,15,15,15,15,15
2383,50,7507,15,0,0,0,15,15,15,0,15,15
2384,50,7675,15,12,15,12,15,12,12,12,12,12
2385,50,5945,12,12,2,2,15,2,12,2,15,12
2386,114,4138,15,15,15,7,15,7,7,7,15,7
2387,25,1952,12,12,12,15,15,12,12,12,15,15
2388,95,6879,11,15,11,11,15,15,11,11,15,15
2389,91,2182,13,13,13,9,9,15,13,15,15,13
2390,67,324,15,15,15,15,15,15,15,15,15,15
2391,50,9063,15,15,15,15,15,15,15,15,15,15
2392,50,1562,15,15,15,12,15,12,15,12,12,15
2393,50,7427,12,12,11,11,11,19,12,19,11,11
2394,50,8065,4,4,4,4,4,15,15,13,15,15
2395,54,8396,12,12,12,12,12,12,12,12,12,12
2396,50,8386,15,15,15,15,15,15,15,15,15,15
2397,50,1074,15,15,15,15,15,15,15,15,15,15
2398,50,8825,15,15,15,15,15,15,15,15,15,15
2399,50,4919,10,10,10,10,10,10,10,10,10,10
2400,50,8618,15,15,15,15,15,15,15,15,15,15
2401,50,8888,15,15,15,15,15,15,15,15,15,15
2402,50,199,15,15,15,15,15,15,15,15,15,15
2403,50,3428,15,18,18,15,15,15,15,18,15,15
2404,54,4006,19,19,13,13,11,19,11,11,13,19
2405,82,452,15,15,15,15,15,15,15,15,15,15
2406,60,8167,15,15,15,0,15,0,0,0,0,15
2407,108,1104,16,16,16,15,16,15,16,15,16,16
2408,42,1107,13,0,0,0,7,0,13,0,13,9
2409,60,8987,15,9,9,9,9,9,9,9,15,9
2410,60,8499,12,12,12,15,12,15,12,15,15,12
2411,64,6362,15,15,15,15,15,15,15,15,15,15
2412,47,8052,13,13,13,13,13,13,13,13,13,13
2413,61,5106,4,13,13,4,7,7,7,13,13,13
2414,81,6630,0,0,0,0,0,0,0,0,0,0
2415,114,9195,7,7,7,7,12,12,12,12,7,7
2416,105,6749,15,15,12,0,0,15,15,0,12,12
2417,42,6496,15,15,15,15,15,15,15,15,15,15
2418,114,8925,18,1,1,1,18,18,18,1,18,1
2419,91,6917,15,15,15,15,15,15,15,15,15,15
2420,31,2648,15,15,15,15,15,15,15,15,15,15
2421,123,8064,4,4,4,13,13,13,4,4,4,4
2422,105,6294,15,15,15,15,15,15,15,15,15,15
2423,91,2425,15,15,15,15,15,15,15,15,15,15
2424,137,9357,15,15,15,15,15,15,15,15,15,15
2425,54,8253,12,12,0,12,0,0,12,12,12,12
2426,102,8059,13,13,13,13,13,13,13,13,13,13
2427,130,4869,12,12,12,12,12,12,12,12,12,12
2428,50,7284,13,13,13,13,13,13,13,13,13,13
2429,50,2224,12,12,12,12,12,12,12,12,12,12
2430,50,1312,12,12,12,12,12,12,12,12,12,12
2431,52,1749,12,12,12,12,12,12,12,12,12,12
2432,29,7881,12,0,12,12,12,0,12,12,12,0
2433,52,3112,15,15,15,15,15,15,15,15,15,15
2434,52,8839,9,12,12,9,12,12,9,12,12,9
2435,114,3376,12,12,12,12,12,12,12,12,12,12
2436,52,1963,15,15,15,13,13,13,13,15,13,13
2437,114,6964,15,15,15,15,15,15,15,15,15,15
2438,91,1721,15,15,15,4,15,4,4,15,15,15
2439,52,1328,15,15,15,15,15,15,15,15,15,15
2440,52,2440,12,12,12,12,12,12,12,12,12,12
2441,114,2392,12,12,12,12,12,12,12,12,12,12
2442,52,2292,12,15,12,15,12,12,12,15,15,12
2443,52,4686,7,7,7,9,15,7,9,9,7,7
2444,52,3828,0,0,13,13,0,0,0,13,13,13
2445,52,531,12,17,17,12,12,17,12,17,17,17
2446,52,398,0,11,15,11,0,0,15,0,0,11
2447,52,5530,15,15,15,15,15,15,15,15,15,15
2448,52,7544,12,0,12,0,12,15,12,15,0,15
2449,52,2006,9,15,15,13,9,9,4,15,9,13
2450,52,1630,12,12,15,12,15,12,15,15,15,12
2451,52,8369,7,12,8,8,7,8,8,12,7,12
2452,52,4924,9,7,7,13,15,13,9,7,15,9
2453,52,4771,12,13,15,15,13,12,13,13,9,9
2454,52,9040,7,7,7,5,9,7,7,13,13,5
2455,52,7154,12,7,12,12,12,7,7,12,12,12
2456,52,4625,15,15,19,0,15,19,19,15,0,19
2457,52,860,15,12,0,0,12,0,15,0,0,12
2458,52,1426,15,15,15,15,15,15,15,15,15,15
2459,52,8385,9,15,9,9,9,9,15,15,15,15
2460,54,1484,8,4,4,12,13,13,8,13,13,13
2461,52,8237,13,13,15,13,13,15,13,13,15,15
2462,54,2867,9,13,13,15,9,9,7,15,13,9
2463,54,5801,12,12,12,12,12,12,12,12,12,12
2464,60,3476,8,8,8,8,8,8,8,8,8,8
2465,82,491,10,10,10,10,10,10,10,10,10,10
2466,25,612,7,7,7,7,7,7,7,7,7,7
2467,25,3584,0,12,12,12,4,12,0,4,12,0
2468,54,7349,15,15,15,15,15,15,15,15,15,15
2469,54,4002,12,12,12,12,12,12,12,12,12,12
2470,54,3658,18,18,18,1,1,1,18,18,18,18
2471,50,7634,15,15,15,15,15,15,15,15,15,15
2472,29,332,8,8,8,8,8,8,8,8,8,8
2473,114,4104,15,15,15,15,15,15,15,15,15,15
2474,74,6474,15,15,15,15,15,15,15,15,15,15
2475,54,7789,13,13,13,13,13,13,15,13,15,15
2476,54,2306,15,15,15,12,12,12,15,15,12,12
2477,54,8711,13,19,19,19,13,13,19,19,8,8
2478,54,3651,9,12,12,9,12,12,9,9,12,9
2479,50,766,12,12,12,12,12,12,12,12,12,12
2480,54,6399,10,10,10,10,10,10,10,10,10,10
2481,143,7396,12,12,12,12,12,12,12,12,12,12
2482,59,1974,12,0,12,15,15,12,15,12,15,0
2483,81,2067,15,12,12,12,12,12,12,15,12,12
2484,127,5245,15,12,12,12,12,12,15,12,12,15
2485,105,3836,12,12,12,12,12,12,12,12,12,12
2486,83,4641,2,2,2,2,2,2,2,2,2,2
2487,54,1798,7,7,13,13,13,13,13,7,7,13
2488,54,4457,15,15,15,15,15,15,15,15,12,15
2489,54,8419,12,9,12,12,9,9,9,9,12,9
2490,54,6388,12,12,12,12,12,12,12,12,12,12
2491,54,2924,12,12,12,15,15,12,15,12,15,15
2492,54,8029,19,12,12,12,12,19,19,19,19,12
2493,50,2389,10,10,10,10,10,10,10,10,10,10
2494,50,4884,15,15,15,15,15,15,15,9,15,9
2495,101,3405,0,15,0,0,0,15,15,0,0,0
2496,37,8055,0,15,15,0,0,15,15,0,0,0
2497,92,2268,15,15,15,15,15,15,15,15,15,15
2498,131,6812,15,14,14,9,13,13,14,15,13,13
2499,47,5465,10,10,10,10,10,10,10,10,10,10
2500,57,1687,12,12,12,12,12,12,12,12,12,12
2501,81,2677,15,16,16,16,15,16,16,16,15,15
2502,118,5974,8,8,8,8,8,8,8,8,8,8
2503,74,8873,11,18,11,11,11,11,11,18,18,18
2504,92,8993,15,15,11,15,15,11,15,11,11,11
2505,37,5735,15,15,15,15,15,15,15,15,15,15
2506,54,5188,0,0,12,12,0,0,0,0,12,12
2507,54,4753,19,19,19,19,19,19,19,19,19,19
2508,50,9157,17,17,17,13,17,8,17,13,17,13
2509,50,4491,0,0,0,15,15,15,0,0,15,0
2510,80,7180,0,15,12,0,0,12,15,0,17,15
2511,71,3344,15,15,15,15,12,12,12,15,12,12
2512,85,8380,15,0,15,15,0,0,15,15,15,0
2513,42,3427,15,12,0,15,0,12,0,15,15,0
2514,70,3325,15,9,9,9,15,15,15,9,9,9
2515,60,8132,12,15,15,12,15,15,15,12,15,15
2516,57,6650,14,14,9,9,9,14,14,14,14,9
2517,30,3171,5,5,15,15,5,5,5,5,15,5
2518,65,3439,5,0,0,5,0,5,5,0,5,5
2519,42,4543,15,15,15,15,15,13,13,13,13,13
2520,95,6565,16,16,16,7,16,16,7,16,7,16
2521,80,9557,15,15,15,15,15,15,15,15,15,15
2522,84,4108,15,15,15,15,15,15,15,15,15,15
2523,67,488,15,15,15,15,15,15,15,15,15,15
2524,102,3190,9,7,7,9,9,7,7,9,7,9
2525,91,2371,12,12,12,12,12,12,12,12,12,12
2526,80,7041,4,4,13,4,15,13,4,4,15,15
2527,47,9378,12,4,12,12,12,4,12,4,12,12
2528,101,1326,12,12,18,12,12,12,12,18,12,18
2529,85,6457,7,11,7,7,11,7,7,11,11,11
2530,85,3996,0,11,0,0,15,0,11,15,9,9
2531,101,3685,12,12,12,12,12,12,12,12,12,12
2532,47,3204,12,12,12,12,12,12,12,12,12,12
2533,101,2462,17,0,17,17,12,12,0,0,17,17
2534,101,7351,0,0,0,12,12,12,12,12,0,12
2535,101,935,12,12,12,12,12,12,12,12,12,12
2536,71,2422,11,2,11,12,18,11,12,2,18,18
2537,116,4586,12,12,18,18,18,12,18,12,12,18
2538,81,5740,18,12,12,12,18,18,2,12,2,12
2539,114,1664,11,18,17,18,17,1,18,18,11,11
2540,91,5382,11,11,19,19,19,11,19,19,19,11
2541,91,6339,15,15,15,12,15,0,12,15,15,15
2542,130,4368,15,13,13,15,15,13,13,13,15,15
2543,108,8257,15,15,7,15,15,7,15,7,7,7
2544,65,4932,15,15,15,15,7,7,7,7,7,7
2545,83,1855,11,15,15,7,7,11,16,16,15,16
2546,54,966,15,15,15,15,15,15,15,15,15,15
2547,54,5088,13,13,15,15,15,15,13,13,13,13
2548,50,4576,12,15,12,15,15,12,12,15,15,12
2549,42,7549,11,11,11,18,15,15,18,11,15,15
2550,97,1752,15,15,16,16,16,0,0,16,15,0
2551,70,6700,15,15,15,15,15,15,15,15,15,15
2552,77,2829,12,12,12,11,11,12,11,12,12,11
2553,80,1624,15,11,9,11,11,9,9,9,15,15
2554,71,3874,13,13,15,15,15,15,13,15,13,15
2555,61,3860,12,12,12,12,12,12,12,12,12,12
2556,85,2845,12,12,0,0,12,12,12,12,12,0
